,Incident ID,Year,Month,Day,Country,Region,District,City,UN,INGO,LNGO/NRCS,ICRC,IFRC,Other,Nationals killed,Nationals wounded,Nationals kidnapped,Total nationals,Internationals killed,Internationals wounded,Internationals kidnapped,Total internationals,Total killed,Total wounded,Total kidnapped,Total affected,Gender Male,Gender Female,Gender Unknown,Means of attack,Attack context,Location,Latitude,Longitude,Details,DateTime
601,573,2007,9,27,Sri Lanka,Northern ,Mannar ,Mannar,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Roadside IED,Ambush,Road ,8.9780188,79.9148547,"1 NGO national staff killed by roadside bomb. The victim was providing food for displaced people inside a rebel-held area in Mannar, Sri Lanka and was killed by a remotely launched mine attack.",2007-09-27
602,568,2007,9,28,Sudan,South Darfur,,25 miles south of Nyala,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,0,0,3,Unknown,Ambush,Road ,11.329444,25.08565623,"3 INGO national staff wounded when armed men ambushed an aid convoy in Darfur, which included eight staff members. The convoy was attacked some 25 miles south of Nyala. The INGO has scaled back its operations in South Darfur after its staff suffered three attacks within a week.",2007-09-28
603,574,2007,9,30,Afghanistan,Lowgar,,,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,1,0,1,Kidnapping ,Ambush,Road ,34,69.25,2 INGO national staff (driver and a skilled staffer) were snatched from the Baraki Barak district while travelling to Kabul. The two workers had completed a water and sanitation project in Logar when kidnapped by an armed gang Sunday. That the kidnappers had not made very specific demands but the main motive behind the abduction was ransom. The aid group was holding talks with the kidnappers through local elders but it would not pay a ransom.,2007-09-30
604,753,2007,10,4,Mali,Tombouctou ,,,0,1,2,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,3,Kidnapping ,Unknown,Unknown,16.7719091,-3.0087272,"1 INGO national staff and 2 national staff of partner NGOs were abducted. Found after a 3-day search and released, the vehicle was stolen",2007-10-04
605,577,2007,10,8,Sudan,South Darfur,,Muhajeria,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Shooting (small arms ,Raid,Unknown,11.329444,25.08565623,"1 INGO national staff shot and killed when fleeing the town of Muhajeria which was attacked, 8 October. 13 humanitarian workers were evacuated on the following day after heavy fighting and violence. Other staff members fled in an attempt to join and protect their families.",2007-10-08
606,579,2007,10,10,Chad,,,North,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,Kidnapping ,Unknown,Unknown,15,19,"1 NGO international staff kidnapped by rebels while he was in the northern part of the country, Oct. 10.",2007-10-10
607,788,2007,10,11,Somalia,Banaadir,Warta Nabada,,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,2,0,2,2,0,0,Shooting (small arms ,Ambush,Road ,2.11667,45.4,2 NGO national staff wounded when driving their belonging to an INGO. The gunmen stopped the car and reportedly shot and wounded the two occupants before driving away with the vehicle.,2007-10-11
608,734,2007,10,11,Afghanistan,Bamian,,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Bodily,Individual,Unknown,34.75,67.25,1 INGO national staff security guard found dead with 2 stab wounds to the stomach,2007-10-11
609,575,2007,10,12,Sudan,South Darfur,,road between Nyala and El Fasher,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Unknown,Ambush,Road ,11.329444,25.08565623,"1 UN national staff trucking co partner was killed in South Darfur on the road between the state capital Nyala and the city of El Fasher, capital of North Darfur, 12 October.",2007-10-12
610,765,2007,10,12,Malawi,,,,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,Unknown,Individual,Unknown,-13.2687204,33.9301963,1 INGO national staff hospitalized after 'major assault'. Motive unknown.,2007-10-12
611,576,2007,10,16,Sudan,South Darfur,,road between Ed Daien and El Obeid,2,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,2,0,0,Shooting (small arms ,Ambush,Road ,11.329444,25.08565623,"2 UN national staff contracted drivers contracted shot and killed by unidentified assailants in Darfur, 16 October. The incident occured in South Darfur on the road between the town of Ed Daien and the city of El Obeid. The men were returning to El Obeid after delivering supplies.",2007-10-16
612,578,2007,10,17,Somalia,Banaadir,,Mogadishu,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,Kidnapping ,Raid,Office,2.033333,45.35,"1 UN national staff kidnapped: 60 armed men had stormed the UN agency compound in the south of Mogadishu and marched away with the agency head at gunpoint. The UN halted food distribution in response. The Mayor of Mogadishu, said that the humanitarian organisations were fuelling the insurgency by feeding terrorists in the camps. Last month he cut off water supplies to several of the sprawling tent cities. Aid workers and diplomats suggested that he was the most likely figure behind yesterday",2007-10-17
613,666,2007,10,25,Afghanistan,Ghazni,,Moi Mubarak,0,3,0,0,0,0,0,1,0,1,0,0,2,2,0,1,2,3,2,0,0,Kidnapping ,Raid,Office,33.55391,68.42096,2 INGO international (Banglasdeshi) staff kidnapped and 1 national staff wounded by unidentified gunmen Thursday. The two international staff were taken from their office in Moi Mobarok in the provincial capital.,2007-10-25
614,1331,2007,10,28,Sri Lanka,Northern ,Jaffna ,"Naranthanai, Kayts",0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting (small arms ,Individual,Home ,9.6669,80.0181,A national staffer of an INGO was killed by an unknown gunman at his home.,2007-10-28
615,580,2007,10,30,Pakistan,Khyber Pakhtunkhwa,Battagram,Battagram,0,0,8,0,0,0,0,8,0,8,0,0,0,0,0,8,0,8,0,0,8,Bombing ,Unknown,Office,34.2188242,71.62733422,"8 NGO national staff injured, two critically, when an explosive device went off outside the office and residential compound of a national NGO running health and education projects. Staff were asleep inside. We have suspended our operations. Our staff has been evacuated,"" Michael McGrath, country director of Save the Children US in Pakistan's North West Frontier Province (NWFP) told IRIN, noting that all 95 staff members - international and national - had been moved out of Battagram and the nearby town of Bana",2007-10-30
616,581,2007,10,31,Uganda,Northern Uganda,Amuru ,,0,3,0,0,0,0,2,1,0,3,0,0,0,0,2,1,0,3,0,0,3,Unknown,Ambush,Road ,2.75,32.9,"2 INGO national staff killed and 1 national staff wounded, who escaped, by gunmen in Amuru district on Wednesday. Banditry is rife across northern Uganda, scarred by two decades of insurgency by the LRA and widespread cattle rustling by AK-47-toting Karamojong warriors. Both have a habit of ambushing then looting civilian vehicles.""We suspect these were just armed thugs who targeted the cash,"" an army spokesman for northern Uganda, told Reuters. ""It doesn't look like an LRA attack and there are no Karamojong warriors in Amuru.""The LRA normally burn vehicles after attacks, but Magezi said the attackers merely robbed cash and escaped.",2007-10-31
619,790,2007,11,1,Sudan,,,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Unknown,Unknown,Unknown,14.5844444,29.4917691,1 national staff contractor killed.,2007-11-01
620,693,2007,11,7,Tanzania,Arusha,Ngorogoro,,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,Bodily,Detention,Custody (official forces,-3.36667,36.68333,1 INGO national staff was arrested and hospitalized after beaten by police.,2007-11-07
621,1332,2007,11,10,Sri Lanka,Northern ,Mannar,Weerapura,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Kidnap-killing,Raid,Home ,8.98333,79.9,A local NGO staffer was abducted from a private home by LTTE forces and later killed.,2007-11-10
622,582,2007,11,15,Somalia,Banaadir,,Mogadishu,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,Shooting (small arms , Combat (or police operations) ,Project site ,2.033333,45.35,"1 NGO national staff killed when was hit by a stray bullet while distributing food at camp for the displaced on the outskirts of Mogadishu, 15 November. Victim was seriously wounded in the accident and died the next day at the Medina hospital.",2007-11-15
623,1333,2007,11,16,Sri Lanka,Northern ,Jaffna ,Jaffna,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting (small arms ,Ambush,Road ,9.6649255,80.0091719,A local staffer of an INGO was ambushed and shot dead on his way home from a Temple service.,2007-11-16
624,735,2007,11,18,Afghanistan,Badakhshan,,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Unknown,Ambush,Unknown,36.734772,70.811995,1 INGO national staff killed when an INGO vehicle with 6 occupants was ambushed.,2007-11-18
625,754,2007,11,22,Papua New Guinea,,,,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,2,0,0,2,Bodily,Ambush,Road ,-5.6816069,144.2489081,"2 INGO national staff were beaten in ambush when a group of approx. 10 youth blocked the road in front of INGO vehicle and robbed the team of cash, but left vehicle.",2007-11-22
626,583,2007,11,24,Chad,,,East,0,3,0,0,0,0,0,1,0,1,0,2,0,2,0,3,0,3,1,0,2,Shooting (small arms ,Raid,Unknown,15,21.5,"2 INGO international staff (of two different INGOs) and 1 INGO national staff security guard injured when armed rebels and unidentified gunmen entered two towns in eastern Chad at the weekend after rebel factions abandoned a month-old ceasefire. The gunmen, whose identity is unclear, used the butt of a rifle to beat the two internationals and a security guard was hit in the leg by a bullet. Most aid workers there pulled back to the nearby town of Goz Beida, and aid sources said humanitarian agencies would decide on Monday whether to evacuate all their staff from the area.",2007-11-24
627,766,2007,11,25,Sudan,,,,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,Shooting (small arms ,Unknown,Unknown,14.5844444,29.4917691,One INGO national staff shot during armed robbery.,2007-11-25
628,694,2007,11,30,Uganda,Northern Uganda,Kotido,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting (small arms ,Individual,Road ,2.75,32.9,1 INGO national staff guard was shot dead when returning from town in the evening. The police believe it was a robbery.,2007-11-30
630,584,2007,12,2,Afghanistan,Kandahar,Kandahar,Kandahar to Helmand road,2,0,0,0,0,0,1,0,1,2,0,0,0,0,1,0,1,2,1,0,1,Shooting (small arms ,Ambush,Road ,31.61332,65.71013,1 UN national staff truck driver shot and killed and 1 UN national staff abducted and remains missing. The incident occured while delivering UN humanitarian assistance last Sunday. A truck carrying 14 tons of high energy biscuits for the UN agency was ambushed by armed men on the road from Kandahar to Helmand in southern Afghanistan.,2007-12-02
631,755,2007,12,4,Thailand,Pattani,,Pattani,0,5,0,0,0,0,1,4,0,5,0,0,0,0,1,4,0,5,0,1,4,Bombing , Combat (or police operations) ,Other public location ,6.8678652,101.2504538,"4 INGO national staff injured and 1 INGO national staff killed when a terrorist bomb exploded at a local shop in Pattani province, December 4 . One national staff and their 9yr son died at the hospital that night, while other staff were injured.",2007-12-04
632,585,2007,12,6,Chad,Moyen-Chari,,South Danamadji,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting (small arms ,Ambush,Road ,8.7453,18.5508,1 UN national staff driver shot and killed working out of the agency's field office in Danamadji. The circumstances surrounding the shooting are still not clear.,2007-12-06
